user_id,amount_to_pay_next_payment,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_past_due_balance,institution_cat,account_type_cat,credit_type_cat,payment_frequency_cat
4,0.0,90096.0,0.0,103001.0,18486.0,0.0,0.0,0.0,30.0,36.0,150.0,24.0
6,21688.0,950541.0,211347.0,286225.0,15499.0,0.0,0.0,0.0,231.0,94.0,295.0,64.0
12,138.0,76134.0,1328.0,72487.0,0.0,7.0,1.0,110.0,273.0,48.0,156.0,33.0
27,14776.0,1176269.0,225038.0,561846.0,0.0,0.0,2.0,1298.0,706.0,234.0,684.0,154.0
29,173.0,6308.0,3609.0,25002.0,0.0,0.0,0.0,0.0,59.0,18.0,75.0,12.0
31,0.0,473084.0,75579.0,495776.0,0.0,64.0,3.0,10721.0,365.0,95.0,310.0,76.0
37,7736.0,424589.0,399934.0,449559.0,16680.0,0.0,1.0,576.0,122.0,54.0,171.0,36.0
43,2281.0,432771.0,37548.0,504164.0,384.0,7.0,1.0,924.0,225.0,86.0,292.0,64.0
47,145857.0,518516.0,455556.0,414615.0,245205.0,0.0,0.0,0.0,277.0,110.0,266.0,74.0
48,27496.0,1074522.0,332143.0,485838.0,110485.0,125.0,0.0,0.0,848.0,187.0,724.0,162.0
49,2753.0,52950.0,52950.0,54050.0,0.0,0.0,0.0,0.0,40.0,6.0,9.0,4.0
51,6852.0,129669.0,148868.0,242500.0,0.0,0.0,0.0,0.0,91.0,32.0,92.0,20.0
54,7256.0,188927.0,205566.0,161744.0,0.0,1.0,1.0,400.0,139.0,63.0,149.0,54.0
64,12029.0,439871.0,402449.0,113451.0,0.0,0.0,0.0,0.0,106.0,54.0,182.0,38.0
72,26621.0,939032.0,522247.0,225097.0,630.0,0.0,0.0,0.0,136.0,61.0,244.0,60.0
81,33130.0,4744729.0,1564633.0,4468261.0,0.0,4.0,0.0,0.0,344.0,268.0,1017.0,188.0
87,24738.0,1122710.0,137566.0,520790.0,43343.0,34.0,6.0,10564.0,9593.0,1078.0,4940.0,1850.0
89,32333.0,1271858.0,768535.0,614175.0,0.0,1.0,1.0,1372.0,204.0,93.0,258.0,68.0
90,16629.0,451950.0,238732.0,173233.0,311.0,3.0,3.0,4682.0,577.0,82.0,200.0,74.0
94,193.0,237462.0,193.0,176501.0,0.0,0.0,0.0,0.0,73.0,47.0,172.0,32.0
103,21361.0,6445811.0,822503.0,5072150.0,75227.0,48.0,9.0,8155.0,922.0,417.0,1682.0,366.0
108,0.0,13261.0,0.0,9497.0,0.0,0.0,0.0,0.0,140.0,48.0,100.0,28.0
109,1159.0,23982.0,23903.0,49000.0,0.0,21.0,0.0,0.0,75.0,27.0,67.0,16.0
112,13421.0,674482.0,249525.0,156313.0,0.0,1.0,2.0,1911.0,483.0,107.0,354.0,100.0
123,25920.0,74877.0,23843.0,38650.0,26988.0,0.0,0.0,0.0,192.0,91.0,247.0,56.0
139,5539.0,158164.0,59741.0,171001.0,39849.0,0.0,0.0,0.0,148.0,70.0,246.0,50.0
141,235636.0,1028068.0,455859.0,601505.0,211045.0,0.0,0.0,0.0,403.0,140.0,429.0,88.0
145,100632.0,40658.0,104858.0,31701.0,93537.0,0.0,1.0,1943.0,159.0,56.0,199.0,42.0
149,3400.0,334117.0,11851.0,323377.0,33505.0,11.0,4.0,1140.0,585.0,91.0,140.0,77.0
160,14091.0,313081.0,237256.0,86640.0,0.0,6.0,1.0,3526.0,89.0,31.0,123.0,30.0
172,8970.0,91911.0,313693.0,86100.0,0.0,1.0,0.0,0.0,104.0,37.0,152.0,28.0
173,8653.0,233852.0,116454.0,148947.0,0.0,26.0,1.0,3761.0,116.0,53.0,166.0,41.0
178,14380.0,395927.0,334233.0,7001.0,0.0,0.0,0.0,0.0,119.0,44.0,121.0,34.0
179,0.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,38.0,14.0
182,39238.0,1997554.0,1151965.0,746700.0,5281.0,0.0,0.0,0.0,320.0,114.0,388.0,84.0
183,41684.0,1175901.0,571920.0,446105.0,53566.0,58.0,0.0,0.0,327.0,154.0,573.0,120.0
188,630.0,17721.0,630.0,0.0,0.0,0.0,0.0,0.0,138.0,25.0,61.0,16.0
189,12179.0,39044.0,24349.0,45172.0,11192.0,0.0,0.0,0.0,147.0,31.0,116.0,20.0
192,1290.0,201871.0,184109.0,190143.0,0.0,0.0,0.0,0.0,130.0,39.0,110.0,24.0
195,6831.0,348946.0,210367.0,361536.0,0.0,0.0,0.0,0.0,250.0,70.0,249.0,58.0
200,732.0,20252.0,9454.0,12100.0,16.0,5.0,8.0,5091.0,262.0,34.0,162.0,62.0
212,813.0,114032.0,2814.0,43200.0,17066.0,13.0,0.0,0.0,144.0,50.0,191.0,38.0
215,1573.0,31500.0,13775.0,13700.0,0.0,0.0,0.0,0.0,169.0,14.0,139.0,43.0
218,5706.0,437928.0,227860.0,409099.0,42520.0,40.0,0.0,0.0,425.0,91.0,287.0,64.0
232,9855.0,279431.0,112911.0,177151.0,0.0,0.0,1.0,4655.0,168.0,36.0,171.0,42.0
236,17121.0,394884.0,467201.0,615945.0,0.0,2.0,0.0,0.0,123.0,29.0,83.0,20.0
250,5873.0,385804.0,86542.0,350944.0,0.0,0.0,0.0,0.0,102.0,57.0,178.0,40.0
260,635.0,106889.0,505561.0,121279.0,0.0,0.0,0.0,0.0,227.0,26.0,34.0,24.0
266,1006.0,164255.0,27238.0,130840.0,0.0,1.0,1.0,35.0,108.0,37.0,108.0,24.0
275,62.0,6792.0,1616.0,10000.0,0.0,0.0,0.0,0.0,10.0,12.0,50.0,8.0
296,22150.0,1655028.0,414188.0,1580523.0,3022.0,6.0,9.0,1699.0,199.0,81.0,319.0,74.0
305,213338.0,18221902.0,6202076.0,13840843.0,75967.0,204.0,1.0,6159.0,682.0,407.0,874.0,352.0
309,42510.0,539315.0,394090.0,393183.0,38027.0,0.0,0.0,0.0,584.0,110.0,436.0,102.0
320,24523.0,1491953.0,2130641.0,1479788.0,484823.0,0.0,0.0,0.0,204.0,110.0,344.0,72.0
328,0.0,30393.0,970.0,1197.0,0.0,0.0,6.0,2395.0,82.0,14.0,52.0,18.0
329,215.0,467.0,215.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,14.0,4.0
342,41134.0,4522790.0,3015491.0,801748.0,173975.0,0.0,0.0,0.0,227.0,106.0,337.0,76.0
345,36652.0,1144780.0,739372.0,691583.0,1017.0,0.0,0.0,0.0,228.0,93.0,375.0,75.0
355,96604.0,4041748.0,1573987.0,3040093.0,0.0,0.0,0.0,0.0,582.0,229.0,814.0,162.0
360,248.0,15001.0,9637.0,10551.0,0.0,0.0,0.0,0.0,56.0,62.0,200.0,36.0
365,14233.0,154074.0,84111.0,83000.0,22154.0,65.0,0.0,0.0,184.0,75.0,228.0,61.0
384,2417.0,114575.0,110681.0,69750.0,0.0,0.0,0.0,0.0,15.0,16.0,69.0,14.0
386,259.0,36863.0,25382.0,0.0,0.0,1.0,1.0,1173.0,108.0,16.0,76.0,23.0
391,18311.0,1542915.0,205229.0,767604.0,605421.0,83.0,0.0,0.0,234.0,91.0,331.0,60.0
396,38883.0,228521.0,36501.0,206545.0,43020.0,34.0,0.0,0.0,169.0,78.0,258.0,56.0
402,1102.0,578424.0,13457.0,631625.0,0.0,0.0,0.0,0.0,163.0,83.0,316.0,56.0
419,1.0,10000.0,2108.0,41869.0,0.0,0.0,0.0,0.0,103.0,14.0,25.0,12.0
420,14318.0,149454.0,118286.0,124721.0,37367.0,26.0,0.0,0.0,79.0,40.0,162.0,30.0
433,3907.0,127228.0,60078.0,102080.0,0.0,0.0,0.0,0.0,64.0,34.0,135.0,26.0
457,23266.0,1274154.0,450508.0,661954.0,0.0,8.0,0.0,0.0,169.0,51.0,172.0,36.0
458,7917.0,296948.0,100769.0,548983.0,2200.0,36.0,8.0,642.0,289.0,77.0,226.0,78.0
461,2961.0,382907.0,87365.0,341686.0,0.0,11.0,3.0,2070.0,345.0,90.0,341.0,64.0
463,12619.0,159977.0,35311.0,49749.0,0.0,0.0,0.0,0.0,219.0,56.0,196.0,44.0
465,3081.0,73136.0,44301.0,89750.0,0.0,40.0,0.0,0.0,138.0,37.0,100.0,24.0
468,8261.0,1024275.0,272198.0,526106.0,0.0,0.0,0.0,0.0,133.0,59.0,220.0,40.0
469,20353.0,1187174.0,556699.0,929081.0,0.0,18.0,0.0,0.0,140.0,114.0,410.0,80.0
483,0.0,9969.0,4983.0,7696.0,0.0,0.0,0.0,0.0,37.0,20.0,53.0,12.0
485,14189.0,70287.0,33409.0,181000.0,0.0,0.0,0.0,0.0,40.0,38.0,150.0,24.0
509,12443.0,567721.0,209235.0,574185.0,0.0,26.0,1.0,310.0,334.0,78.0,284.0,64.0
512,8016.0,116206.0,59343.0,6000.0,0.0,0.0,0.0,0.0,125.0,22.0,101.0,28.0
517,4177.0,11680.0,4177.0,0.0,0.0,11.0,2.0,480.0,48.0,12.0,50.0,15.0
518,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,14.0,4.0
519,2983.0,309654.0,307808.0,309654.0,0.0,0.0,0.0,0.0,39.0,3.0,13.0,4.0
527,834.0,155000.0,29355.0,0.0,0.0,0.0,0.0,0.0,108.0,12.0,57.0,12.0
530,12866.0,505595.0,461167.0,165000.0,542.0,0.0,0.0,0.0,106.0,48.0,182.0,38.0
536,550.0,10000.0,550.0,1400.0,0.0,0.0,0.0,0.0,54.0,14.0,28.0,8.0
543,0.0,176950.0,24087.0,182999.0,0.0,0.0,0.0,0.0,10.0,10.0,48.0,10.0
554,12604.0,678558.0,518911.0,334808.0,0.0,8.0,1.0,1581.0,230.0,89.0,332.0,68.0
556,15521.0,588457.0,517593.0,595597.0,9108.0,5.0,5.0,1597.0,547.0,75.0,139.0,60.0
558,25467.0,881503.0,498925.0,301696.0,0.0,10.0,0.0,0.0,350.0,118.0,457.0,96.0
561,13646.0,440298.0,174259.0,514997.0,77323.0,0.0,0.0,0.0,381.0,159.0,553.0,110.0
563,6489.0,32531.0,26023.0,52500.0,0.0,0.0,0.0,0.0,295.0,42.0,105.0,37.0
565,11160.0,30339.0,245429.0,314695.0,0.0,0.0,2.0,320.0,82.0,25.0,80.0,19.0
570,15357.0,1096460.0,831074.0,914048.0,0.0,0.0,0.0,0.0,190.0,81.0,270.0,60.0
578,14231.0,239739.0,216861.0,125005.0,169321.0,0.0,0.0,0.0,138.0,71.0,187.0,48.0
593,27516.0,839773.0,373868.0,622746.0,90485.0,16.0,0.0,0.0,249.0,102.0,333.0,68.0
595,6221.0,304959.0,93215.0,351306.0,0.0,10.0,3.0,4543.0,840.0,174.0,625.0,190.0
609,27579.0,3244829.0,1293113.0,1779477.0,83179.0,20.0,0.0,0.0,70.0,68.0,256.0,52.0
617,7433.0,208666.0,139587.0,116054.0,2014.0,0.0,0.0,0.0,110.0,64.0,208.0,46.0
625,3426.0,39648.0,23107.0,36597.0,3597.0,0.0,0.0,0.0,82.0,28.0,80.0,20.0
627,80189.0,1787786.0,1012057.0,1469630.0,17976.0,0.0,0.0,0.0,351.0,126.0,392.0,88.0
630,3677.0,1061891.0,297813.0,452363.0,0.0,6.0,0.0,0.0,74.0,42.0,167.0,32.0
635,0.0,23812.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,20.0,53.0,12.0
639,11005.0,166319.0,52001.0,111600.0,0.0,1.0,3.0,5768.0,400.0,68.0,305.0,88.0
648,7570.0,99082.0,33790.0,52496.0,0.0,0.0,0.0,0.0,421.0,69.0,298.0,72.0
654,6933.0,512759.0,825916.0,659075.0,0.0,0.0,0.0,0.0,196.0,86.0,315.0,60.0
660,384570.0,12865299.0,5101304.0,10203214.0,0.0,0.0,0.0,0.0,612.0,230.0,658.0,168.0
675,9183.0,672767.0,658607.0,800588.0,2140.0,0.0,0.0,0.0,52.0,31.0,127.0,26.0
680,3264.0,50497.0,27070.0,34500.0,0.0,0.0,0.0,0.0,512.0,82.0,321.0,68.0
683,9791.0,289857.0,223668.0,103602.0,0.0,3.0,1.0,812.0,401.0,93.0,291.0,64.0
684,18054.0,993459.0,326727.0,297682.0,4960.0,11.0,7.0,5935.0,372.0,121.0,397.0,94.0
685,13259.0,554099.0,313141.0,118063.0,0.0,12.0,0.0,0.0,96.0,43.0,129.0,32.0
689,16157.0,61588.0,39459.0,49120.0,7585.0,0.0,0.0,0.0,118.0,30.0,127.0,20.0
693,2310.0,134831.0,76253.0,197864.0,0.0,0.0,0.0,0.0,56.0,53.0,208.0,36.0
694,1109.0,141020.0,16765.0,75236.0,0.0,0.0,0.0,0.0,191.0,54.0,163.0,36.0
701,6792.0,258120.0,213112.0,298948.0,0.0,0.0,0.0,0.0,229.0,52.0,150.0,36.0
707,3852.0,289633.0,21659.0,295943.0,533.0,0.0,0.0,0.0,68.0,36.0,128.0,30.0
711,38582.0,599053.0,138963.0,147528.0,122286.0,0.0,0.0,0.0,292.0,158.0,600.0,112.0
719,69023.0,5711828.0,1819594.0,2448238.0,0.0,0.0,0.0,0.0,250.0,131.0,472.0,90.0
721,47778.0,2684690.0,1187481.0,1302111.0,1237.0,0.0,0.0,0.0,677.0,195.0,613.0,152.0
728,0.0,26187.0,0.0,6000.0,3022.0,0.0,0.0,0.0,500.0,6.0,310.0,109.0
730,5457.0,75435.0,54018.0,96628.0,0.0,0.0,0.0,0.0,97.0,25.0,80.0,16.0
733,9438.0,85126.0,6222.0,48356.0,3801.0,37.0,1.0,1296.0,128.0,43.0,138.0,33.0
744,17002.0,23635.0,21231.0,4500.0,2582.0,27.0,0.0,0.0,60.0,20.0,55.0,12.0
771,0.0,112280.0,0.0,0.0,0.0,11.0,9.0,4224.0,42.0,28.0,84.0,49.0
772,2219.0,287498.0,281822.0,285799.0,0.0,2.0,6.0,1699.0,272.0,23.0,19.0,24.0
774,17857.0,68740.0,45697.0,45695.0,0.0,0.0,0.0,0.0,145.0,39.0,106.0,24.0
791,16136.0,220781.0,181651.0,257626.0,3791.0,0.0,0.0,0.0,251.0,90.0,364.0,60.0
796,17985.0,568361.0,560012.0,495034.0,24970.0,0.0,0.0,0.0,209.0,69.0,212.0,50.0
797,48867.0,5436155.0,3330245.0,910534.0,0.0,1.0,3.0,5167.0,326.0,147.0,532.0,108.0
812,3238.0,64732.0,36785.0,61004.0,0.0,0.0,4.0,1631.0,239.0,55.0,159.0,36.0
821,6505.0,520000.0,497163.0,0.0,0.0,0.0,0.0,0.0,88.0,22.0,70.0,16.0
822,66.0,14419.0,2564.0,26081.0,0.0,0.0,0.0,0.0,16.0,16.0,69.0,15.0
827,14280.0,915756.0,372276.0,193838.0,12295.0,6.0,7.0,2838.0,473.0,129.0,480.0,106.0
830,210.0,434702.0,15683.0,216360.0,293.0,51.0,3.0,2713.0,406.0,108.0,328.0,74.0
831,0.0,346.0,0.0,872.0,0.0,0.0,0.0,0.0,16.0,7.0,14.0,4.0
838,2772.0,419108.0,395590.0,426691.0,1932.0,6.0,3.0,3724.0,150.0,31.0,59.0,13.0
839,2814.0,120914.0,90444.0,46404.0,0.0,39.0,0.0,0.0,177.0,47.0,148.0,35.0
840,27852.0,68445.0,45610.0,39696.0,18523.0,3.0,3.0,3800.0,565.0,82.0,311.0,79.0
845,0.0,405.0,0.0,1000.0,0.0,3.0,1.0,56.0,47.0,6.0,14.0,4.0
847,0.0,30060.0,0.0,22002.0,9494.0,22.0,7.0,667.0,91.0,36.0,146.0,28.0
855,0.0,38026.0,4394.0,33700.0,0.0,2.0,5.0,2913.0,94.0,20.0,88.0,20.0
858,14581.0,1242983.0,1210062.0,302131.0,0.0,0.0,0.0,0.0,160.0,65.0,209.0,45.0
868,8451.0,1019903.0,491339.0,853942.0,174818.0,0.0,0.0,0.0,447.0,157.0,488.0,106.0
869,226287.0,935092.0,645150.0,660990.0,272034.0,6.0,2.0,7448.0,270.0,95.0,349.0,79.0
878,37361.0,640519.0,173722.0,169332.0,22036.0,0.0,0.0,0.0,236.0,45.0,133.0,41.0
881,0.0,645873.0,0.0,590811.0,0.0,8.0,0.0,0.0,145.0,77.0,261.0,56.0
889,79140.0,116901.0,79140.0,66269.0,78699.0,0.0,0.0,0.0,101.0,54.0,185.0,36.0
893,0.0,25354.0,1064.0,32993.0,0.0,0.0,0.0,0.0,177.0,24.0,102.0,30.0
900,71591.0,2928122.0,1077142.0,2465316.0,221920.0,2.0,2.0,3589.0,389.0,151.0,505.0,112.0
901,290.0,75337.0,1774.0,50780.0,40.0,2.0,2.0,40.0,119.0,38.0,95.0,21.0
918,14681.0,890972.0,255055.0,387555.0,1564.0,0.0,0.0,0.0,336.0,160.0,551.0,128.0
919,13592.0,3007573.0,1037611.0,2219940.0,1057.0,6.0,2.0,2400.0,1518.0,249.0,820.0,226.0
921,8975.0,251322.0,164717.0,199871.0,641.0,21.0,9.0,2348.0,244.0,83.0,275.0,56.0
922,14385.0,225625.0,237638.0,209315.0,9500.0,0.0,0.0,0.0,158.0,43.0,103.0,28.0
924,14520.0,162609.0,30219.0,89401.0,26129.0,0.0,0.0,0.0,195.0,69.0,213.0,46.0
930,806.0,10479.0,7755.0,10000.0,0.0,0.0,0.0,0.0,43.0,13.0,37.0,9.0
932,13005.0,393879.0,279213.0,302866.0,2070.0,4.0,0.0,0.0,163.0,56.0,177.0,36.0
934,13673.0,236685.0,151459.0,168149.0,667.0,47.0,1.0,1550.0,172.0,60.0,166.0,44.0
936,2696.0,154352.0,150298.0,176475.0,1163.0,22.0,4.0,2479.0,261.0,57.0,158.0,40.0
946,0.0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,14.0,32.0,8.0
949,49445.0,1295795.0,767521.0,857114.0,8920.0,0.0,0.0,0.0,340.0,145.0,448.0,96.0
963,4040.0,138607.0,48313.0,108904.0,2282.0,11.0,0.0,0.0,52.0,34.0,124.0,24.0
966,400.0,84349.0,0.0,77489.0,0.0,0.0,0.0,0.0,36.0,29.0,108.0,20.0
968,16264.0,1627017.0,1921411.0,1431772.0,220093.0,0.0,0.0,0.0,304.0,41.0,181.0,60.0
973,0.0,374972.0,0.0,117602.0,204586.0,1.0,1.0,256.0,118.0,42.0,144.0,36.0
977,8703.0,542808.0,125839.0,782902.0,144.0,21.0,0.0,0.0,299.0,138.0,469.0,89.0
978,42132.0,372247.0,349450.0,68800.0,64022.0,2.0,2.0,5309.0,93.0,30.0,77.0,22.0
984,4920.0,39952.0,17002.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,38.0,11.0
985,8553.0,279685.0,211678.0,119339.0,720.0,5.0,0.0,0.0,136.0,68.0,254.0,48.0
989,21905.0,725777.0,226437.0,257372.0,1327.0,7.0,3.0,31010.0,326.0,70.0,227.0,60.0
990,7013.0,385338.0,246519.0,35740.0,12568.0,0.0,0.0,0.0,142.0,54.0,140.0,37.0
991,11364.0,497386.0,390415.0,313580.0,4698.0,6.0,2.0,5969.0,290.0,54.0,192.0,54.0
992,1513.0,294025.0,60521.0,115511.0,1359.0,1.0,9.0,1097.0,867.0,164.0,451.0,173.0
998,121565.0,2246734.0,1153415.0,498212.0,219890.0,78.0,5.0,16658.0,207.0,121.0,410.0,84.0
